id,category,category_num,degree,menu_name,price,info,cinnamon,whip,strong_or_weak,syrup_add,light_vanilia_add,stevia_changed,stevia_add,honey_add,choose_milk,choose_topping,zero_cider_changed
27,스무디&프라페,3,ICE,플레인퐁크러쉬,3900,우유에 죠리퐁 씨리얼이 믹싱 된 얼음을 갈아 만든 시원한 프라페음료,0,0,0,0,0,"1,11",0,"1,15",0,"16, 17",0
28,스무디&프라페,4,ICE,초코허니퐁크러쉬,3900,리얼 벌꿀이 들어가 더 달콤한 퍼프허니 시리얼과 부드럽게 달달한 초코가 함께 만드는 즐거운 맛의 프라페.,0,0,0,0,0,0,0,0,0,"16, 17",0
29,스무디&프라페,5,ICE,슈크림허니퐁크러쉬,3900,바닐라빈 향을 머금은 부드러운 슈크림과 리얼 벌꿀이 들어간 퍼프허니 시리얼을 시원하게 즐기는 프라페.,0,0,0,0,0,0,0,0,0,"16, 17",0
30,스무디&프라페,6,ICE,딸기퐁크러쉬,3900,"바삭하고 달달한 퐁에 상큼한 딸기와 부드러운 우유, 얼음을 함께 블렌딩해 시원하게 즐기는 프라페.",0,0,0,0,0,0,0,"1,15",0,"16, 17",0
31,스무디&프라페,7,ICE,바나나퐁크러쉬,3900,"바삭하고 달달한 퐁에 부드러운 바나나와 우유, 얼음을 함께 블렌딩해 부드럽고 시원하게 즐기는 프라페.",0,0,0,0,0,"1,11",0,"1,15",0,"16, 17",0
32,스무디&프라페,8,ICE,스모어블랙쿠키프라페,4400,진한 초코스무디에 바삭한 쿠키를 넣어 퐁신퐁신한 마시멜로우 잼과 함께 달콤하게 즐기는 스무디,0,0,0,0,0,0,0,0,0,0,0
33,스무디&프라페,9,ICE,쿠키프라페,3900,"바삭하고 달콤한 오레오와 고소한 우유, 부드러운 바닐라향의 조화를 느낄 수 있는 프라페.",0,"19,20",0,0,0,0,0,"1,15",0,0,0
34,스무디&프라페,10,ICE,딸기쿠키프라페,3900,"부드러운 바닐라와 달달한 딸기, 바삭한 오레오 쿠키가 달콤한 하모니를 선물하는 프라페.",0,"19,20",0,0,0,0,0,"1,15",0,0,0
35,스무디&프라페,11,ICE,민트프라페,3900,상쾌한 민트에 달콤하게 씹는 재미를 더한 초콜릿칩의 즐거운 하모니가 매력적인 프라페.,0,"19,20",0,0,0,0,0,"1,15",0,0,0
36,스무디&프라페,12,ICE,커피프라페,3900,바삭한 쿠키와 부드러운 바닐라에 향긋한 에스프레소를 섞어 만든 힐링 프라페.,0,"19,20",0,0,0,0,0,"1,15",0,0,0
37,스무디&프라페,13,ICE,리얼초코프라페,3900,진한 초코소스와 부드러운 바닐라향의 만남으로 질리지 않는 달콤함을 완성한 프라페.,0,"19,20",0,0,0,0,0,"1,15",0,0,0
38,스무디&프라페,14,ICE,녹차프라페,3900,향긋한 녹차 위에 우유와 휘핑크림을 더해 더 부드럽게 즐길 수 있는 프라페.,0,"19,20",0,0,0,0,0,"1,15",0,0,0
39,스무디&프라페,15,ICE,유니콘프라페,4800,"다채로운 비주얼로 보는 즐거움을 채우고, 달콤함과 상큼함 색깔마다 달라지는 유쾌한 맛까지 잡은 이색프라페.",0,"19,20",0,0,0,0,0,"1,15",0,0,0
40,스무디&프라페,16,ICE,스트로베리치즈홀릭,4500,상큼한 딸기 요거트 스무디 위에 고급스런 맛의 치즈케이크가 듬뿍 올라가 먹는 재미를 배가한 스무디.,0,"19,20",0,0,0,"1,11",0,"1,15",0,0,0
41,스무디&프라페,17,ICE,플레인요거트스무디,3900,더 시원하게 요거트의 새콤달콤한 맛을 오롯이 만끽할 수 있는 스무디.,0,0,0,0,0,"1,11",0,"1,15",0,0,0
42,스무디&프라페,18,ICE,딸기요거트스무디,3900,요거트의 상큼함과 딸기의 상큼함을 상냥하게 어우른 상큼 스무디.,0,0,0,0,0,"1,11",0,"1,15",0,0,0
43,스무디&프라페,19,ICE,망고요거트스무디,3900,열대과일 망고의 진한 단 맛과 산뜻한 요거트의 하모니가 인상적인 스무디.,0,0,0,0,0,0,0,"1,15",0,0,0
44,신상품,1,ICE,수박 주스,4000,돌아온 여름시즌 베스트셀러! 달달하고 시원한 메가MGC커피 만의 수박주스,0,0,0,0,0,0,0,0,0,0,0
45,신상품,2,ICE,레드오렌지자몽주스,4000,엄선된 시칠리아 레드오렌지와 자몽이 만난 상큼한 주스에 프로바이오틱스를 더해 건강한 블렌딩 주스,0,0,0,0,0,0,0,0,0,0,0
46,신상품,3,ICE,샤인머스켓그린주스,4000,달콤한 샤인머스캣과 케일이 만난 싱그러운 주스에 칼슘을 더해 건강한 블렌딩 주스,0,0,0,0,0,0,0,0,0,0,0
47,신상품,4,ICE,딸기주스,4000,새콤달콤한 딸기주스에 피쉬 콜라겐을 더해 건강한 블렌딩 주스,0,0,0,0,0,0,0,"1,15",0,0,0
48,신상품,5,ICE,딸기바나나주스,4000,"상큼한 딸기와 부드러운 바나나가 만나, 새콤달콤한 매력이 살아 있는 과일 음료.",0,0,0,0,0,0,0,"1,15","1,13,14",0,0
49,에이드,6,ICE,메가에이드,3900,"상큼한 딸기와 부드러운 바나나가 만나, 새콤달콤한 매력이 살아 있는 과일 음료.",0,0,0,0,0,0,0,"1,15",0,0,"1,18"
50,에이드,7,ICE,레몬에이드,3500,시트러스향 가득한 레몬의 상큼함과 톡쏘는 탄산의 상쾌함이 만난 청량 에이드.,0,0,0,0,0,"1,11",0,"1,15",0,0,"1,18"
51,에이드,8,ICE,블루레몬에이드,3500,레몬에이드의 상큼한 청량감에 블루큐라소의 진한 향미를 더한 에이드.,0,0,0,0,0,0,0,"1,15",0,0,"1,18"
52,에이드,9,ICE,자몽에이드,3500,자몽의 달콤쌉싸름한 맛과 탄산의 톡쏘는 목넘김이 어우러진 트로피컬 에이드.,0,0,0,0,0,"1,11",0,"1,15",0,0,"1,18"
53,에이드,10,ICE,청포도에이드,3500,산뜻한 청포도와 상쾌한 탄산의 달달한 조화가 인상적인 에이드.,0,0,0,0,0,0,0,"1,15",0,0,"1,18"
54,에이드,11,ICE,유니콘매직에이드(블루),3800,섞으면 마법처럼 색이 변하는 재미에 라임의 청량함으로 입까지 즐거운 이색 에이드.,0,0,0,0,0,0,0,"1,15",0,0,"1,18"
55,에이드,12,ICE,유니콘매직에이드(핑크),3800,섞으면 마법처럼 색이 변하는 재미에 레몬의 상큼함으로 입까지 즐거운 이색 에이드.,0,0,0,0,0,0,0,"1,15",0,0,"1,18"
56,에이드,13,ICE,체리콕,3300,체리의 새콤함과 청량감을 동시에 즐길 수 있는 환상적인 에이드.,0,0,0,0,0,0,0,"1,15",0,0,0
57,에이드,14,ICE,라임모히또,3800,상큼한 라임과 달콤한 향기의 애플민트가 어우러져 상쾌함을 한잔에 가득 채운 모히또 음료.,0,0,0,0,0,0,0,"1,15",0,0,"1,18"
58,음료,1,ICE,딸기라떼,3700,산뜻하고 달콤한 딸기가 부드러운 우유와 어우러져 더욱 기분 좋게 즐기는 아이스 라떼.,0,0,0,0,0,"1,11",0,"1,15","1,13,14",0,0
59,음료,2,ICE,아이스초코,3500,부드러운 우유에 진한 초코소스가 어우러져 달콤하게 입맛을 깨우는 초콜릿 음료.,0,0,0,0,0,0,0,"1,15","1,13,14",0,0
60,음료,3,ICE,오레오초코라떼,3900,진한 초코와 리얼 오레오를 블렌딩해 씹는 맛을 더한 달콤한 아이스 라떼.,0,"19,20",0,0,0,0,0,"1,15","1,13,14",0,0
61,음료,4,ICE,메가초코,3800,"부드러운 우유에 진한 초코소스, 달콤한 휘핑크림의 삼박자 조화로 완성한 달콤 초코 음료.",0,0,0,0,0,0,0,"1,15","1,13,14",0,0
62,음료,5,ICE,녹차라떼,3500,향긋한 녹차에 우유를 더해 입 안에 부드러운 푸릇함을 선물하는 라떼.,0,0,0,0,0,0,0,"1,15","1,13,14",0,0
63,음료,6,ICE,곡물라떼,3000,우유에 곡물을 더해 고소하고 든든하게 즐기는 라떼.,0,0,0,0,0,"1,11",0,"1,15","1,13,14",0,0
64,음료,7,ICE,고구마라떼,3500,달콤하고 고소한 고구마와 부드러운 우유가 만나 누구나 즐기기 좋은 든든한 라떼.,0,0,0,0,0,"1,11",0,"1,15","1,13,14",0,0
65,음료,8,ICE,토피넛라떼,3700,은은하게 퍼지는 카라멜의 달달한 향기와 견과의 고소함을 한입에 즐길 수 있는 라떼.,0,0,"1,2,3,4,5",0,0,0,0,"1,15","1,13,14",0,0
66,음료,9,ICE,로얄밀크티라떼,3700,우유와 은은한 홍차가 어우러져 부드럽고 향긋한 한 모금을 완성한 라떼.,0,0,0,0,0,0,0,"1,15","1,13,14",0,0
67,음료,10,ICE,흑당라떼,3300,모리셔스의 진한 흑당과 부드러운 우유가 달콤하게 조화를 이루는 라떼.,0,0,0,0,0,0,0,"1,15","1,13,14",0,0
68,음료,11,ICE,흑당밀크티라떼,3500,타바론 얼그레이 홍차의 깊은 맛을 살린 일크티 라떼에 진한 흑당의 달콤함을 채운 음료.,0,0,0,0,0,0,0,"1,15","1,13,14",0,0
69,음료,12,ICE,흑당버블라떼,3700,모리셔스의 진한 흑당과 부드러운 우유가 달콤한 조화에 흑당 버블을 함께 즐기는 라떼.,0,0,0,0,0,0,0,"1,15","1,13,14",0,0
70,음료,13,ICE,흑당버블밀크티라떼,3800,타바론 얼그레이 홍차의 깊은 맛을 살린 일크티 라떼에 진한 흑당과 흑당 버블의 달콤함을 채운 음료.,0,0,0,0,0,0,0,"1,15","1,13,14",0,0
